# =============================================================================
# class-overrides.tsv — per-class accommodations for run-netty-suite.sh
#
# THIS FILE IS TRACKED IN GIT ON PURPOSE. `apps/` is gitignored wholesale
# (.gitignore:12), so every file in this fixture has to be force-added
# (`git add -f`) to exist in the repo at all — this script's own header claimed
# the table was "tracked in git" while the whole netty runner was untracked.
#
# WHAT THIS IS FOR
#
# The flat --timeout cap (default 180s) is a single number for ~730 classes of
# wildly different weight. A class that legitimately needs longer than the cap
# is killed and recorded HANG — indistinguishable in the results from a real
# deadlock, and expensive to re-triage every round. An entry here raises the cap
# for one class (never lowers it: the effective timeout is max(default, entry))
# and/or adds VM flags for it.
#
# FORMAT: tab-separated  <class>  <timeout_seconds>  <extra_flags>
# Use `-` for a column that does not apply. Blank lines and '#' lines ignored.
# Print the loaded table with:  run-netty-suite.sh overrides
# -----------------------------------------------------------------------------
# DnsNameResolverTest drives 232 tests through a live in-process DNS server and
# is simply a long class: 118s on an idle host, 125s inside a 6-shard run, and
# 147s (82% of the 180s cap) with five CPU burners alongside — all three runs
# byte-identical at ok=216 aborted=16. A saturated full-suite run has no headroom
# left, and a class killed at the cap is reported HANG, which is exactly how this
# class was first characterized. 600s is generous rather than marginal on purpose.
# See fixed-suite-bugs/netty/dnsnameresolvertest-windows-only-aborts-CONFIRMED-20260819.md
io.netty.resolver.dns.DnsNameResolverTest	600	-

# -----------------------------------------------------------------------------
# The `SSLEngineTest` family. Five classes, 821 to 4 088 `@ParameterizedTest`
# cases each, every one driving a real in-JVM TLS handshake over a
# protocol x cipher x delegate x useTasks x useTickets matrix.
#
# THE CAP IS NOT A CRATONVM QUESTION FOR THESE. Measured on HOTSPOT 25 on the
# Windows dev host, `common.args`, ZERO failures in all five:
#
#     JdkSslEngineTest                     821 tests    192 s   (1.07x the cap)
#     OpenSslEngineTest                  3 992 tests    567 s   (3.15x)
#     OpenSslJdkSslEngineInteroptTest    2 645 tests    702 s   (3.90x)
#     JdkOpenSslEngineInteroptTest       2 309 tests    744 s   (4.13x)
#     ReferenceCountedOpenSslEngineTest  4 088 tests    952 s   (5.29x)
#
# So no run of these can fit the flat 180s cap on any host, and every one was
# recorded HANG -- which threw away the PASSes and, worse, the real assertion
# failures the raw log had already printed. Two genuine VM defects (a v4-only
# wildcard bind and a TrustManager that skipped hostname verification) sat
# inside that HANG for two weeks. See
# fixed-suite-bugs/netty/ssl-parameterized-classes-exceed-180s-timeout-masking-real-failures-20260826.md
#
# THE NUMBERS BELOW, and how they were chosen. Measured on the fixed binary,
# `MethodRunner` (which times every case), `OpenSslEngineTest`:
#
#     everything except one method    672 cases    798 s    1.19 s/case
#     mustCallResumeTrustedOnSessionResumption
#                                      31 cases  2 618 s   84.5 s/case
#
# So the per-case cost is ~1.19 s against HotSpot's ~0.14 s -- about 8.4x -- and
# ONE method is most of the wall, because each of its twelve deterministic
# failures burns a 60 s JUnit timeout
# (known-issues/netty/java-reentry-from-boringssl-verify-callback-loses-the-tls13-client-cert-20260826.md).
# That puts `OpenSslEngineTest` near 8 700 s and the floor below at ~1.6x it.
# `JdkSslEngineTest` is a direct wall measurement, 1 363 s for 821 cases with
# five forks in flight. The two Interopt classes are the same rate times their
# case counts, rounded UP hard. These are floors, not budgets: a class that
# finishes sooner costs nothing.
#
# AN EARLIER REVISION OF THIS COMMENT SAID ~2.0 s/case AND ~14x, and it was
# wrong for a reason worth recording: that figure was taken on a binary carrying
# a regression (a `getSSLParameters()` call from inside BoringSSL's verify
# callback) whose extra failures inflated the mean. A per-case rate measured on
# a binary with a known defect in the workload is a rate for that defect, not
# for the VM.
#
# THAT IS STILL EXPENSIVE AND IT SHOULD BE SAID. A four-hour floor on a class is
# a real change to a suite whose whole 657-class run was 178 minutes. It buys
# the per-class ok/failed breakdown that a HANG destroys. Closing the
# re-entrancy defect above would take `OpenSslEngineTest` from ~2.4 h to ~1.5 h
# and would justify lowering these; that is the way to lower them, not editing
# this table.
io.netty.handler.ssl.JdkSslEngineTest	3600	-
io.netty.handler.ssl.OpenSslEngineTest	14400	-
io.netty.handler.ssl.OpenSslJdkSslEngineInteroptTest	10800	-
io.netty.handler.ssl.JdkOpenSslEngineInteroptTest	10800	-
io.netty.handler.ssl.ReferenceCountedOpenSslEngineTest	14400	-
